id,topic,geo_level,geo,year,number
92857,Cigarette Smoking among Adults,Borough,Bronx,2008,17.1
92858,Cigarette Smoking among Adults,Borough,Brooklyn,2008,16.3
92859,Cigarette Smoking among Adults,Borough,Manhattan,2008,13.7
92860,Cigarette Smoking among Adults,Borough,Queens,2008,15.4
92861,Cigarette Smoking among Adults,Borough,Staten Island,2008,21.3
92862,Cigarette Smoking among Adults,Borough,Bronx,2009,18.1
92863,Cigarette Smoking among Adults,Borough,Brooklyn,2009,16.1
92864,Cigarette Smoking among Adults,Borough,Manhattan,2009,15
92865,Cigarette Smoking among Adults,Borough,Queens,2009,14.6
92866,Cigarette Smoking among Adults,Borough,Staten Island,2009,19.7
92867,Cigarette Smoking among Adults,Borough,Bronx,2010,16.3
92868,Cigarette Smoking among Adults,Borough,Brooklyn,2010,13.9
92869,Cigarette Smoking among Adults,Borough,Manhattan,2010,12.9
92870,Cigarette Smoking among Adults,Borough,Queens,2010,14.2
92871,Cigarette Smoking among Adults,Borough,Staten Island,2010,13.9
120030,Cigarette Smoking among Adults,Borough,Bronx,2011,17.1
120031,Cigarette Smoking among Adults,Borough,Brooklyn,2011,16
120032,Cigarette Smoking among Adults,Borough,Manhattan,2011,12.6
120033,Cigarette Smoking among Adults,Borough,Queens,2011,12.3
120034,Cigarette Smoking among Adults,Borough,Staten Island,2011,25.6
124518,Cigarette Smoking among Adults,Borough,Bronx,2012,15.8
124519,Cigarette Smoking among Adults,Borough,Brooklyn,2012,16.1
124520,Cigarette Smoking among Adults,Borough,Manhattan,2012,15.6
124521,Cigarette Smoking among Adults,Borough,Queens,2012,14.9
124522,Cigarette Smoking among Adults,Borough,Staten Island,2012,16.6
180310,Cigarette Smoking among Adults,Borough,Bronx,2013,16.1
180311,Cigarette Smoking among Adults,Borough,Brooklyn,2013,16
180312,Cigarette Smoking among Adults,Borough,Manhattan,2013,15.4
180313,Cigarette Smoking among Adults,Borough,Queens,2013,16.5
180314,Cigarette Smoking among Adults,Borough,Staten Island,2013,18.5
92037,Overweight or Obese Adults,Borough,Bronx,2008,67.8
92038,Overweight or Obese Adults,Borough,Brooklyn,2008,58.8
92039,Overweight or Obese Adults,Borough,Manhattan,2008,48.6
92040,Overweight or Obese Adults,Borough,Queens,2008,56.6
92041,Overweight or Obese Adults,Borough,Staten Island,2008,65.9
92042,Overweight or Obese Adults,Borough,Bronx,2009,67.5
92043,Overweight or Obese Adults,Borough,Brooklyn,2009,59.1
92044,Overweight or Obese Adults,Borough,Manhattan,2009,45.5
92045,Overweight or Obese Adults,Borough,Queens,2009,56.1
92046,Overweight or Obese Adults,Borough,Staten Island,2009,57.4
92047,Overweight or Obese Adults,Borough,Bronx,2010,69
92048,Overweight or Obese Adults,Borough,Brooklyn,2010,59.7
92049,Overweight or Obese Adults,Borough,Manhattan,2010,47.1
92050,Overweight or Obese Adults,Borough,Queens,2010,57
92051,Overweight or Obese Adults,Borough,Staten Island,2010,62.3
120270,Overweight or Obese Adults,Borough,Bronx,2011,66.3
120271,Overweight or Obese Adults,Borough,Brooklyn,2011,60.4
120272,Overweight or Obese Adults,Borough,Manhattan,2011,47.1
120273,Overweight or Obese Adults,Borough,Queens,2011,55.4
120274,Overweight or Obese Adults,Borough,Staten Island,2011,70.3
126671,Overweight or Obese Adults,Borough,Bronx,2012,64.5
126672,Overweight or Obese Adults,Borough,Brooklyn,2012,56.8
126673,Overweight or Obese Adults,Borough,Manhattan,2012,45.4
126674,Overweight or Obese Adults,Borough,Queens,2012,55.9
126675,Overweight or Obese Adults,Borough,Staten Island,2012,64.8
192181,Overweight or Obese Adults,Borough,Bronx,2013,68.9
192182,Overweight or Obese Adults,Borough,Brooklyn,2013,56.1
192183,Overweight or Obese Adults,Borough,Manhattan,2013,47.8
192184,Overweight or Obese Adults,Borough,Queens,2013,53.7
192185,Overweight or Obese Adults,Borough,Staten Island,2013,64.2